question1,question2
Was Steve Jobs a genius?,Did Steve Jobs actually invent or was he just a great marketing genius?
Who do you think will win the 2016 presidential election?,Who will win the 2016 United States Presidential election: Trump or Clinton?
Can India be a corruption free country?,How will be corruption free India?
What are prospects and challenges of pulses in food security?,What is pulses for sustainable food security prospects and challenges?
What is the best online saving account?,What is the best online savings account?
"Do new 2000 INR really have a NGC (Nano GPS Chip), or is it just a rumour?",Is there really a chip embedded in the new Rupees 2000 note?
Why does the liquid part of the egg become solid when we boil it?,Why egg becomes hard when we boil it?
What are three habits that highly productive people have on a daily basis?,What are 3 habits that highly productive people have on a daily basis?
What is the best way to make money in GTA V?,Whats the best way to get money easily in GTA V right now?
What is the best way to have thick hair?,My hair is very thin how to I get thick hair?
How do girls feel after losing their virginity?,How do girls feel when they are losing their virginity?
Is it possible to make some money by writing answers on Quora?,Do you make money by answering questions on Quora?
How can I increase the page rank of my website?,How do I increase the page rank of my blog?
What does it mean to get shot in the head in a dream?,What does it mean to have a dream where you are shot in the head?
What are the rules for success?,What are the rules of success?
Will Donald Trump or Hillary Clinton win the 2016 US presidential election?,Who will win the election? Donald Trump or Hillary Clinton?
What else can I do to get over a breakup?,How do I deal with a breakup?
How did Stephen Hawking get paralyzed?,How did Stephen Hawking got paralyzed?
Which movie made a big difference in your life?,What movie made a big difference in your life?
What is the most effective post workout protein powder?,Which is the most effective protein powder?
How is the new Harry Potter book 'Harry Potter and the Cursed Child'?,How bad is the new book by J.K Rowling?
What do you think about Reservation System In India?,What do you think of reservation system in India?
What are some good online mock test series for SSC CGL Tier 2 2016?,Where can I find mock test papers for SSC CGL tier 2?
What is the best solution for Kashmir problem?,What is the best possible solution of the kashmir issue?
Is helicopter parenting in the United States in decline?,Is helicopter parenting going away anytime soon?
How do I stay motivated while learning to code?,How can I stay motivated while learning to code?
What are the best ways to improve my writing skills in English?,What are suggestions or ideas to improve my English writing skills?
What is the best online resource to learn Python?,"Which are the best online courses to learn Python when I already have programming knowledge of C, C++ and Java?"
How can anyone increase height?,How do I increase body height?
Why do we get cold and sweaty hands?,Why do we have cold sweaty hands?
How do I prepare for GATE in 100 days?,How do I prepare for GATE 2017 in 3 months?
Will Rs. 2000 currency note really come with A GPS chip? Or it is just a rumor?,Will the new Rs 2000 notes carry a nano GPS chip? Will it really Help?
"As 500 and 1000 rupee note is demonetized, what will RBI do with the collected old notes?",What will RBI do after receiving all the old 500 and 1000 notes? Will they burn those notes?
What would you do to recover NPA?,How do banks recover non-performing assets?
How do you become more disciplined?,What are the ways to become disciplined?
I'm an electrical engineering student final year. What can you suggest as a topic for my major project?,I am a electrical engineering final year student. What should I do for my final year project?
Who is Naveen Kumar and is he trying to copy Elon Musk with his company moon express?,Who is Naveen Jain and is he trying to copy Elon Musk with his company moon express?
What is the main reason for earthquake?,What is the reason for an earthquake?
"Why PM Narendra Modi scrapped Rs 500, Rs 1000 notes?how does it helps INDIA?",Why Mr. Narendra Modi banned ₹ 1000 and 500 notes in India? How to exchange them for small denominations if I have some of them?
How many questions did you attempt and how many marks do you expect in KVPY SA 2016?,What is the KVPY SA expected cut off for 2016?
How do I start blog and earn money from it?,How can I start making money from blogging?
How can I get healthy hair without any hair treatment?,How do I get have healthy hair?
How can I mute questions on Quora?,Is it possible to mute a question on Quora?
How do I find my lost mobile using IMEI?,"I lost my Lava mobile. I have an IMEI number. Is there any possibility to find my mobile using the IMEI number, even if they remove my SIM card?"
Which company provides the best SEO services in Delhi?,Which are the best companies for search engine optimization in Delhi?
How do I file a complaint against Quora?,How do I file a complaint with Quora?
What was the most embarassing moment because of your clothes?,What was the most embarassing moment due to your clothes?
What is the meaning of the double lightning bolts that began with the SS during WWII?,What do SS lightning bolts mean?
Is eBiz right or wrong?,Is eBIZ fraud?
What's the best way to prepare for GRE?,What are the best ways to prepare for GRE?
Who will win the election TRUMP or CLINTON?,Who will win American Election in 2016?
What will be the effect of the ban of 500 and 1000 rupee notes be on the stock market?,What will be the impact of governments decision to scrap currency notes of Rs 500 and Rs 1000 on the stock markets?
Where is the best place to get great but cheap tattoos?,Where are the best places to get tattooed cheaply?
How do I run a fast 800m?,How do I run a 800 metre race as fast as possible?
Why can't most people live to 100?,Why can't many people live past 100?
What will happen to India if Donald Trump wins?,How will Donald Trump winning the election affect India?
What are the best spiritual books in the world?,Which is the best spiritual book?
Why don't many people posting questions on Quora check Google first?,Why is it that most people don't Google their question before asking it here?
How is a zero gravity environment created for astronaut training on earth?,How is zero gravity created on earth?
Shouldn't we have debates between NaMo and RaGa similar to the US presidential debates?,Why there is presidential debates in US and not in India?
I asked my husband if I could drive to get warm. My husband looked very upset and gave me the silent treatment. Should I be worried?,"My new husband was upset and gave me the silent treatment, because I asked if I could drive our truck, to warm up after a hike. Should I be worried?"
What's your secret to success?,What is the secret to success?
How can i find sponsors for my college events in pune?,How do I get online sponsors for national level college event sponsors for college level events?
What is the best present you have ever received?,What is the best physical gift you've ever received?
What is value of I^i?,What is the value of [math]i^i [/math]where [math]i=\sqrt{-1}[/math]?
My iPhone is disabled what should I do now?,What should I do if my iPhone is disabled?
What did it feel like when you first had sex?,How does it feel to have your first sex?
"There's a saying that goes,  ""There is no such thing as a free lunch"". Is there such a thing as a free lunch?",Is there such a thing as a free lunch?
What is the best way to move on?,How can I move in my life?
Which is the best laptop under 60k in india?,What is the best laptop under Rs.60000 in India?
How should I convince my parents for love marriage?,How can I convince my mom for a love marriage?
What are some last minute preparation tips for the GATE?,What are some tips to prepare for the GATE?
What is the worst thing a friend did to you?,What is the worst thing a friend has ever done to you?
How do you treat damaged vocal cords from intubation?,How do you treat vocal cord damage caused by intubation?
Why nobody replies to my questions on Quora?,How come nobody is answering my questions in Quora?
What are the questions for there is no answer?,What is the question that doesn't have an answer?
How can Jio work in a 3G phone?,How do I use Jio sim in 3G devices?
What is stress & how to management stress?,How can stress managed?
Why is the SAT hard?,Is the SAT hard?
How do I write an essay?,How do I write an essay in English?
What are the best things to do in life?,What is the best thing to do to improve life?
"Which is the best, Coursera or EdX?",What is better Coursera or edX?
What is automatic learning?,What is automatical learning?
Is World War III coming?,"How close are we to World War Three, and how bad would it be?"
What are the pros and cons of advertising any product?,What are the pros and cons of advertising?
What is the best way to start learn hacking?,Where do I start learning hacking?
How do I get rid of facial scar?,How do I get rid of facial scars?
What are some good ways to get rid of belly fat?,What's a good workout plan to lose belly fat?
"What are the best stairbuilder companies in Queensland, Australia?","Who are the best stairbuilders in Queensland, Australia?"
Which is the best laptop for gaming under 60k INR?,What are the best gaming laptops under INR 60000?
Does love exist?,Why does love exist?
Why do all of my questions on Quora need improvement?,Can Quora quote the improvements needed in the questions when it is marked as 'Needing Improvement'?
Why is Kim Kardashian famous for nothing?,What has Kim Kardashian done to deserve celebrity status?
What is the evidence that India carried out surgical strikes in PoK? What made the world deny India's claim?,What is the evidence of purported surgical strikes by India on Pakistan?
Is PC gaming better than console gaming?,Is PC gaming better?
Is morality subjective or objective?,Is morality subjective?
What exactly does the manager of a football club do?,How important is the role of a manager in a football club?
What are women' s secrets that young men do not know?,What are a girl's secrets that a boy shouldn't/doesn't know?
Is it good to listen music while studying maths?,Is it good to listen to music while doing math?
How can I get a head start in college during high school besides taking AP classes and clep?,"How can I get a head start in college during high school, aside from taking AP classes and CLEP?"
How do know when you're in love?,How do you know you are in love with someone?
What are the best questions asked ever?,Which are some best questions ever asked?
What are the best ways to make a woman wet?,How can I make her wet?
How can I speak English like natives?,How can I learn English well？?
What's a dollar worth?,How much is a dollar worth?
How can I get traffic on website?,How can I Increase the traffic of my blog?
How will India's relation with US be affected if Donald Trump wins the US elections?,What will be the effects of Donald Trump being the US president on India?
What are some intermediate colleges where soccer is also included in Telangana?,Which intermediate college is good for playing soccer in Telangana?
What are the high level procedural programming languages?,What are the examples of procedural programming languages?
What astronomical observations would prove the existence of intelligent extraterrestrial life?,Is there any extraterrestrial intelligent life?
How do I get more traffic on my website?,How can I increase the traffic on my website?
What are miranda rights and what is the equivalent of these in Canada?,What are Miranda rights in other countries?
Where does the concept of karma first originated? What are the beliefs of karma?,Where does the concept of karma first originated?
What are some good ways to detoxify one's body?,What are the most effective ways to detoxify your body?
Do you believe everything happens for a reason?,Do you believe everything happens for a reason? Why or why not?
Will Hillary Clinton lead America to a war with Russia?,Is there a high risk that President Hillary Clinton will initiate a war with Russia?
What is your favorite song and why?,What is your favorite song of all time and why?
What's the best way to find out what I am good at?,What am I good at?
Does China has prime minister?,Is there prime minister in china?
What is the best way to prepare for TCS Aptitude Test?,How do I crack the TCS aptitude test?
How can I prevent cavities?,How do I prevent teeth cavity?
What is the fastest way to lose weight safely?,How can I lose weight quickly?
If blood in our body flows only in veins then why it flows out when your finger is cut slightly?,If blood in our body flows only in veins then why it flows out when our finger is cut slightly?
What is the best way to initiate conversation with a stranger?,What are some of the best ways to approach a stranger and initiate conversation?
What do I do if my friend hates me?,What do I do if all my friends hate me?
Indian government demonetized Rs 500 and 1000 notes but replaced them with 500 and 2000 note. Isn't this contradicting?,Did the Indian government ban the 500 Rs & 1000 rupees notes?
"Who's winning the election, Trump or Clinton?","Who do you think would win the election, Trump or Clinton?"
How do I improve my pronunciation of English?,I want to improve my English?
What do you think of the Government's move of banning old Rs. 500 & Rs. 1000 notes?,What do you think will be the effect of Modi Government's decision of invalidating the RS 500 and RS 1000 notes?
Why doesn't the Indian government take steps to curb population growth?,Why Indian government does not take any control measures for over population?
Who won the 09/26/16 debate? Does it matter?,According to polls who won the first Clinton-Trump presidential debate?
What never fails to make you smile?,What specific activity never fails to make you happy?
How can I get a girlfriend while studying in an engineering school?,How do I get dates while at engineering school?
Is congress killed Lal Bahadur shatri?,What is the reason of Lal Bahadur Shastri’s death?
How is the sex life of an Indian immigrant in Canada?,How is the sex life of Indian immigrant in Canada?
What is the 2008 financial crisis in simple terms?,Why did the 2008 financial crisis occur?
How does a horizontal milling machine and a vertical milling machine differ?,Under what applications a horizontal milling machine is preferred over a vertical milling machine?
Why did Trump win?,How did trump win the presidential election?
What are the different parts of a compound microscope? What are their functions?,What are the different parts of a microscope? What are their functions?
"How can I ask Quora a question about something that was marked ""needs improvement?""?",All my questions on Quora need improvement. What is the best way to ask a question on Quora?
Why are doctors always late?,Why doctors always make you wait for 15-20 minutes before they see you?
Which country has best education system?,Which country in the world has the best education system and why?
Why does my question need to be improved and how to improve it?,What can I do to improve my question on Quora?
I'm 13 and want to learn to code. How should I go about this?,How can I learn about software coding?
What is the difference between speed and velocity in physics? What are some examples?,What's the difference between speed and velocity?
Do you like to receive gifts?,Do you like receive gifts?
Why would Donald Trump make a good president?,Is Donald Trump a good choice for being the President of The US?
What percentage of Reddits posts are done from mobile?,"On Reddit, roughly what percent of writing is done from mobile?"
How do I study properly?,How do you study effectively?
How do I have better conversations?,How do I get better at conversation?
Is there a best study method?,What is the best studying method?
What is the most common sexual fantasy of women?,What are common women's sexual fantasies?
What's a way to last longer during sex? (For guys)?,How do I last longer in sex?
Is it okay to be jealous?,Is it okay to get jealous?
Is it normal to bleed again after your period? Why or why not?,Is it normal to still bleed after your period?
Can someone increase their height after 25 years?,How do I increase our height after 21?
How do I increase height after puberty?,Is there any proven method to increase 13 year old girl's height after hitting puberty?
What is the difference between an invention and a discovery?,What is the difference between inventing and discovering?
Can I fly to Mexico with valid H1B Visa?,Can we visit mexico with valid H1B Visa?
What advice would you give to someone going into their first year of college?,What is the best advice you can give to someone attending their first year at a university?
Which is good time to invest in share market?,What is the best time to invest in the share market?
How is gas chromotography used in forensic science?,What is gas chromatography used for in forensic science?
How do I go about being a UX designer?,How do I become an UX designer?
How is the equation for the formation of acid rain determined?,How is the equation for acid rain determined?
How should I loose weight?,Which are the best ways to lose weight?
Which are the great examples of presence of mind?,What are some examples of common sense or presence of mind?
What should I do to get internship in startup?,How to get an internship with a startup?
How do i speak english like a native speaker?,How do I speak English as native speaker?
How do you get rid of 'super lice'?,How do I get rid of lice from head?
What has the Modi government achieved since coming to power?,What has the Narendra Modi Government done since being elected in 2014?
What will David Cameron do after he relinquishes his job as Prime Minister?,What will David Cameron do after his resignation?
How can I deal with selfish people?,How do I deal with opportunists and selfish people all around me?
What will be the implications of banning 500 and 1000 rupees currency notes on Indian economy?,What will be the repercussions of banning Rs 500 and Rs 1000 notes on Indian economy?
How can I increase the traffic to my website?,How do i get traffic for website?
Why do I feel tired in the morning even after getting proper sleep?,Why do I feel tired in the morning?
Why do people call Trump racist?,"Do you think Donald Trump is a racist? If so, why?"
What is the firing order in engine?,What is the firing order of an engine?
What's your new year resolution for 2017?,What is your New Year's resolution for 2017?
How can I learn about computers?,How can I learn faster about computer?
What are the funniest jokes / stories you ever heard?,What is the funniest joke you have ever read heard or listened?
Which are the top places to visit in Kerala?,What are the must places to visit in Kerala (6-7 days)?
What are some suggestions on how to improve my self confidence?,How do I improve confidence?
"According to the first law of motion, external force stops a body in uniform motion. What force do I have if I stop a rolling pin.?","According to the first law of motion, external force stops a body in uniform motion. What force do I have if I stop a rolling pin?"
How is Donald Trump a better choice than Hillary Clinton?,Why is Hillary Clinton worse than Donald Trump?
What are the best additional courses for mechanical engineers for getting job?,What are the best additional courses for working mechanical engineers?
Why do people write questions on Quora that could be answered with a quick web search?,Why do so many people post questions on Quora that could be easily and thoroughly answered by simply typing the question into any search engine?
What is ultimate purpose of life?,What do you feel is the purpose of life?
Can height be increased after age 21?,"Is that possible to increase height after age 21? If possible, how?"
How do I follow someone on Quora?,Getting Started on Quora: How do I follow people on Quora?
How do I get to speak fluently English?,How can I learn & speak & write English?
What are some best Hollywood romantic movies to watch?,Which is world's best romantic movie?
What's the best smartphone in the market right now?,Which is the best smartphone right now and why?
"If karma would come back to you, would it help you or hurt you?","If karma was coming back to you, would it help or hurt you?"
What software should I use to write an eBook?,What open source software is popular for writing and self-publishing an ebook?
Why should one vote for Donald Trump?,What are the basic reasons you should vote for Trump?
What is the best horror movie?,What are some best horror movies?
How should I stop biting my nails?,How can I stop biting my nails for good?
What are differences between constant a.c. and variable a.c. in supply?,What is differance between constant a.c. and variable a.c. in supply?
How do you not waste time on the internet?,How do I ensure that I don't waste time on the Internet?
What if Quora and Yahoo Answers went to war?,"Who would win in a war, Quora or Yahoo answers?"
Should I do mba in India or abroad?,Which will be better MBA from India or from abroad in case of placements?
How can I learn investment?,How do I learn much more in investing?
"What is your new year resolution, short term and long term goal for 2017?",What is your New Year's resolutions for 2017?
What are some examples of two homologous chromosomes?,What are some examples of homologous chromosomes?
What will be the effect of possible war between India and Pakistan on Indian Stock market?,What are the chances of a nuclear war between India and Pakistan?
What is a retail business? What are some examples?,"What is a ""retail business""? What are some examples?"
Why are Kinder Surprise eggs illegal in the USA?,Why are Kinder eggs banned in the United States?
How do I become a good problem solver?,How does someone become a better problem solver?
Why would Abraham sacrifice his own son for God?,"If God is against killing, why did God command Abraham to kill his own son?"
How do I see a private Instagram account?,How do I look at the followers of a private instagram account?
Why is China going to the Moon?,What does China want with the moon?
Is it possible for a discrete-time Markov chain to have a non unique stationary distribution?,Is it possible for a discrete-time Markov chain to have multiple stationary distributions?
How do i combine audio and video from different sources?,What are some ways to combine video and audio?
When should I give up on my dream?,When should you give up on your dream?
How long does weed stay in your blood?,How long does THC stay in the blood of regular users?
What are the best books to be read during pregnancy?,What kind of books should I read during pregnancy?
What is the best vegan food?,What is best vegan food in world?
How do I concentrate in a better way on studies?,How can I concentrate in my daily studies?
Who are the most underrated actors and actresses in Bollywood?,Who is the most underrated Bollywood actors?
What is the best way to make life easier?,How can I make my life easier?
How can someone make suicide look like an accident?,How do I make suicide look like an accident?
How can you delete your Yahoo Mail ID?,How do you delete your Yahoo account permanently?
How do I validate my business idea?,How do you validate a business idea?
"Why is the style of ""scratching"" disappearing from hip hop?",Why is there no more scratching in hip hop?
How do you apply for a visa?,How does one apply for a visa?
"How is the word ""subside"" used in a sentence?","How can the word ""subside"" be used in a sentence?"
If Mahabharata is to be made with comic super heroes who would cast in which role and why?,F Mahabharata is to be made with comic super heroes. Whom would you cast in which role and why?
What will happen to international students in the US if Donald Trump becomes president?,What would be the scenario for Indian students after Donald trump becomes the President of US?
Where can I sell my idea?,Where can I sell entrepreneur ideas?
How do I know if I am a psychopath?,How do you know if someone is a psychopath? I am feeling like I am a psychopath of some sort? I don't feel anything about my friends or people I know?
How do you describe today's parents?,How would you describe today's parents?
How do I recover my deleted email by my gmail account?,How can I recover my emails from my Gmail account?
Why is Saltwater taffy candy imported in China?,Why is salt water taffy candy unknown in Japan?
How can I motivate a lazy employee?,How do you motivate lazy employees?
"For an international student, which countries offer free higher education?",Which countries have free higher education?
How do you remember the things you read?,How can I remember what I've read?
What site can you see old deleted Instagram pictures?,Is there a way to see a history of deleted photos on instagram?
How can I improve my writing skills for blogs?,How could I improve my writing skill?
How do I ask questions on Quora?,How can I ask my question on Quora?
What's the most profitable business ever?,Which are the most profitable businesses?
Is Quora available in other languages?,Does Quora come in other languages besides English?
What are the best investments?,What are some of the best investment plans?
Has anyone got laid in India using Tinder?,Has anyone ever got laid via Tinder here in Mumbai?
How do you delete an instagram account when you don't remember the password or username?,How do I delete Instagram account when you forgot your password and email?
"Being a beginner into reading books, what books must I start with?",Which books should I start reading as a beginner?
How are 2D arrays allocated dynamically?,How do I declare Three 2D arrays dynamically in C?
Do hackers use other people IP's to use it has a proxy/VPN to cover their tracks? How do they do this and how can I protect myself from that?,Do Hackers use other people IP's as a Proxy/VPN to cover their tracks? How they do this? And how can i protect myself from it?
How does a Star Wars lightsaber work?,How did lightsabers work?
Where can I find a list of U.S. family offices?,Where can I find a list of family offices in the US?
What are the reasons for the formation of desert in Rajasthan?,Why desert in rajasthan?
What's it like to go to Reed College?,What is your review of Reed College?
What is the best thing you can do with 100$?,What's the best thing you can do with $100?
What is Hillary Clinton's policy towards India-US relations?,What is the foreign policy of the United States towards India be if Hillary Clinton were elected its president?
How do I deal with annoying friends?,How do I deal with an annoying relative?
How do i sell my coaching modules and IIT-JEE study material?,What is the best way to sell IIT-JEE study material?
Would you be buying iPhone 7? Why or why not?,Why would you buy an iPhone 7?
Is it worth buying iPhone 7?,Is it worth buying an iphone?
Why do people ask question on Quora that can be easily and definitively answered by Googling?,Why do so many people ask questions on Quora that can be easily answered by any number of legitimate sources on the Web? Have they not heard of Google or Bing?
What are some personal experiences of corruption in India?,What is your experience of corruption in India?
Why are all my questions immediately being marked as needing improvement?,Why were my last few questions I asked marked as needing improvement?
Can I get scholarship through gre?,What are the scholarships one can get through the GRE?
"What is the difference between Data Science, Analytics, and Business Analytics?",Data Analytics vs Business Analytics vs Data Science. The difference and which one should I go for?
Why do some deodorants stain shirts?,Why do deodorants stain shirts?
"Does PayTM have a toll free customer care number? If yes, then have you ever spoken?",Does PayTM have a toll free customer care number?
What are the best movies ever irrespective of genre?,What is best movies till date?
How do I reduce belly fat that I had since young?,How can I reduce my belly fat in 2 months?
"Should students take part in politics? If yes, why?",Should student take part in politics?
Which is your favourite TV series and why is that so?,What's your favourite TV series?
Which is the best SAP training institute in Kolkata?,What are some good SAP training institute in Kolkata?
Is it too late to start ballet at the age of 22?,Is it too late to start ballet at the age of 22.?
How can I hide a WhatsApp contact?,How do I hide a contact on whatsapp?
Why should someone do MBA?,What are the best reasons for doing an MBA?
Who are the best digital marketers in India?,What is the best digital marketing agency in India?
How can I get rid of my acne caused by stress?,How can I get rid of pimples all over my face?
What are some interesting horror stories?,Which are the best horror stories?
Why does keyboard letters are not arranged in alphabetic order?,Why aren't the letters on the keyboard in alphabetical order?
What are some ways to lose weight fast?,How can you lose weight fast in a healthy way?
"What is the primary, principle purpose of life?",What do you feel is your purpose in life?
What is it like to study in McGill University?,What is it like to study at McGill University?
How can I cope with fear of flying?,How can I reduce my fear of flying? I have a three-hour flight in a couple of weeks.
How I hack Facebook account?,How can I hack fb password?
What is it like to become a millionaire before age 30?,Which are the three more realistic ways to become a multi millionaire before 30?
How can I overcome porn addiction?,How did you overcome porn addiction?
How do I prepare for UGC NET English Literature exam?,What are the name of the books for UGC net English literature?
Who are the top ten astrologers in India?,Who are the top ten Indian astrologers?
Was Donald Trump really endorsed by the KKK?,Is it true that the KKK is endorsing Donald Trump as a presidential candidate?
How can I survive EMP attack?,How can I survive from an EMP attack to the grid?
What is the best way to learn Java programming?,How can i learn java programming language?
"How does Quora figure out the ""Trending Now"" topics?",How does Quora define trending topics?
What ebook formats does Kindle Paperwhite support?,Which file formats does Kindle Paperwhite support?
What function do Schwann Cells have?,What are Schwann cells? What functions do they have?
What is the major difference between Airbus and Boeing aircraft design?,What is the difference between an Airbus and Boeing flights?
What is the future of AngularJS?,What's the future of AngularJS?
What are the safety precautions on handling shotguns proposed by the NRA in Michigan?,What are the safety precautions on handling shotguns proposed by the NRA in Mississippi?
How do you vent your suppressed anger?,How do we suppress our anger?
What if my boyfriend repeatedly gives excuses for not having sex with me?,What if my boyfriend of 9 months repeatedly gives excuses for not having sex
What are the dangers of radio wave transmission?,What are some of the dangers of radio waves?
How I can speak English with fluency?,How can improve my English speaking?
Is it difficult to change major from physics to computer science?,Is it difficult to change major from physics studies to computer science?
Does past academic record matter in the ISI selection process?,Does past academic record matters in RBI selection process?
Which is the best service daikin air conditioner service center in hyderabad?,Which is the best service daikin air conditioner repair center in hyderabad?
What is that one movie you recommend me watching right now?,What is the super best movie you recommend me to watch now? Your number 1 top list movies? Any kind (except horror)?
"Who is winning the presidential election, Trump or Clinton?",Who do you think will win Trump or Clinton?
"I smoked a bowl of crystal meth on Friday. I'm 5'4"" and 187lbs. Will I be able to pass a urine drug test on Wednesday for drug court?","Can I pass a urine drug screen test on Monday, if I smoked a bowl of meth on Friday?"
Why do people make fun of Chinese animation?,Why do people make fun of Chinese cartoons?
How do I stop my dog from humping my furniture?,How do I stop my Australian Shepherd/Border Collie mix from humping my furniture?
How would you spend your last 24 hours that you had to live?,How would you spend the last 24 hours in your life?
Can radio waves of THz frequencies (close to infrared) pass through rock/soil/metal/walls?,Can radio waves of THz frequencies (close to infrared light) pass through rock/soil/metal/walls?
I have my CA final exams in Nov 16. How should I plan my studies? Also when will IND-AS be applicable for exams?,What are the preparations strategy for students appearing for CA final Nov 2016 exams?
Can bodybuilders be considered athletes?,Would anyone consider bodybuilders as athletes? I say no way
What is the best way to commit suicide in India?,What is the best way for me to kill myself?
Why doesn't Indian government treat poor Indians as Indian people?,Why doesn't Indian government care about its poor people?
Who is your favorite movie director and why?,Who is your favorite current movie director?
What is the best subversion client for Mac OS X?,What is the best svn client for Mac OS X?
Is Donald Trump actually running for President or is this a giant game to him?,Does Donald Trump actually want to be president of the United States?
What is DeepMind Technologies?,What does DeepMind Technologies do?
Has anyone used sendmoney24.com to transfer money before?,Has anyone used sendmoney24.com to transfer money?
Can you get high eating a few specks of weed accidentally?,"I've heard yes and no, can eating raw weed get you high the slightest bit?"
Who wrote the Qur'an?,Who wrote the Quran? Based on what was it written?
What are the safety precautions on handling shotguns proposed by the NRA in Washington?,What are the safety precautions on handling shotguns proposed by the NRA in Pennsylvania?
Why do so many people ask things on Quora that they could just as easily Google?,Do people post questions in Quora just so that they can skip searching in Google for a few minutes?
How does it feel having sex for the first time?,How does sex for the first time feel like?
Do women like anal sex?,Do women really enjoy anal sex?
Why do people ask such questions here on Quora which could be easily found on the internet?,Why do people ask question on Quora that can be easily and definitively answered by Googling?
What are the safety precautions on handling shotguns proposed by the NRA in Oklahoma?,What are the safety precautions on handling shotguns proposed by the NRA in Kansas?
What are the genuine way to earn money through online?,What is the best way to make money online legitimately?
Why do people bully others? Whats the point behind it?,Why do some adults like to bully others?
What is the most complex romantic situation you have ever faced?,What is the most complex romantic situation you ever faced?
Who are the founders of Quora?,Who is the father of Quora?
What can I do to feel better about myself?,How can I start feeling better about myself?
"Which is better, trust or science?","Which is better, science or trust?"
How do I become an autodidact?,How does one become an autodidact?
What is the procedure for applying for summer internship in foreign universities?,What is the procedure for internships in foreign universities?
How do I become a cyber security professional?,How do I become a IT security specialist?
Can I see who viewed my videos on Instagram?,How do you know who viewed you video on Instagram?
"If given a chance, you can go in past and change one thing, what would it be?","If you could go back in time and do one thing, what would it be?"
Who are the most underrated actors and actresses in Bollywood?,Which are the most underrated Bollywood actors and actresses?
How should I study,How can I do self study effectively?
What keeps water towers from freezing and why?,What keeps water towers from freezing?
Can you still be pregnant with neg test and period?,Can a woman be pregnant when she's still having a period?
How do you reset a laptop to its factory settings?,What are some ways to do a factory reset on a laptop?
I'm 16. What should I do?,"I'm 16, what should I be doing?"
What is the function of a CPU in a computer?,What is the function of the CPU in a computer?
Why is Saltwater Taffy candy imported in Poland?,Why is saltwater Taffy candy imported in Canada?
How can I kill myself the best way?,How do kill myself?
Which is the best beach for a couple to stay for a week in Goa?,Which are the best beaches in Goa?
What is the cause of an ectopic pregnancy?,What is the usual cause for an ectopic pregnancy on the ovary?
How can I prevent itch on my toes?,How can I treat itch on the top of my toes?
Who is better Donald Trump or Hillary Clinton and why?,Who will be a better president Donald Trump or Hillary Clinton?
Is it bad to show cleavage?,Is it so bad to show cleavage?
What are gravitational waves and why is their discovery so important for physics?,Why is the discovery of gravitational waves so important?
What is the expected cutoff for the KVPY 2016?,What is your analysis of 2016-17 KVPY aptitude exam? What would you expect the cutoff to be?
What are the difference between 32 bit and 64 bit processor?,What is the difference between a 32-bit and 64-bit computer?
How many india-pakistan wars have been there and how many has the indian army won?,How many wars have India and Pakistan fought? And how many of them have been won by each side?
Can I ever find true love?,Am I ever going to find my true love?
What is your favourite alcoholic beverage?,What's your favorite alcoholic beverage?
How can I switch devices on Verizon?,How do I switch phones on Verizon?
Why do some people think Hillary Clinton is a serial liar?,Why do some people believe that Hillary Clinton is a liar?
Which foods are good for losing weight?,Which foods are good for reducing body weight?
What are some ways to achieve your Goals?,How can we achieve our goals?
How can you make the best out of a boring class/lecture?,What is the best way to pass time in a boring class?
What are some examples of court cases involving the Ninth Amendment?,What are some examples and cases regarding the 9th Amendment?
What are the failures of Prime Minister Narendra Modi Government?,What are the areas in which the Narendra Modi government has failed?
How do you paint your rims black?,How do you paint chrome rims black?
Can a planet naturally have oxygen rich atmosphere without life involved (say through photodissociation of water)?,Is it possible for a planet to have an oxygen-rich atmosphere without having life on it?
What should I do to reduce weight?,What are the ways of losing weight?
Where do I find a simple to understand solution on how to lose weight?,How do I actually lose weight?
Which one is your favorite movie?,Which is your favorite movie?
How do I learn guitar online?,I want to learn online guitar
What is the law of demand?,What is law of demand?
How do I reduce belly and chest fat?,What can I do to reduce my belly?
Can beef ban be justified?,Is meat ban justified?
Why do people write such lengthy answers on Quora?,"Why do people write answers way too long, way too often in this website?"
"What makes a programmer ""good?""",What makes a good programmer great?
"All biases aside, at this point in time, who do you think will win the presidential election?",Who do you think is going to win the presidential elections and why?
What color are Turkish people?,Who are Turkish And Azeri people? Are they white?
Is it possible to sustain life in other planets?,Is there any evidence of life on other planets?
How do I fill out adress line 1?,How do I fill out Address Line 1 on an Online Form?
Do all atheists believe life has no purpose beyond basic biological function?,Do atheists believe that there is 'purpose' in life?
Why am I feeling so down everyday?,Why am I feeling so down?
Why do we need reservation in India?,Why do we have reservation in India? And why don't we understand it?
"When religious people say ""everything happens for a reason"" what do they mean by it?","What do we actually mean when we say ""everything happens for a reason""?"
Has Ancient Mesopotamia been scientifically tested?,Have the Ancient Chaldeans been scientifically tested?
Is India failing to get Pakistan isolated internationally?,Has India failed to isolate Pakistan internationally?
"What should I do if Quora marks my question as ""Needs Improvement""?","Why does Quora mark questions as ""Needs Improvement"", even if the questions are complete?"
What is one thing you want to do before you die?,What do you want to do before you die?
Why was time created?,"Who, why, and when was time created?"
What are the best airport tips?,What are some best airport tips?
What are some best Hollywood romantic movies to watch?,Which is the best romantic movie?
